Description,AverageCost ,MinCost ,MaxCost ,Occurrences,Total,RowsBelow
Diagnostic Colposcopy,178.3451286,178.3451286,178.3451286,136775,24393154.96,1
Diagnostic Colposcopy with Biopsy,224.2372721,224.2372721,224.2372721,77646,17411127.23,1
Diagnostic Endoscopic Retrograde Cholangiopancreatography,848.525783,733.5417148,963.5098513,3838,2877194.53,2
Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures,430.1273436,430.1273436,430.1273436,205641,88451817.07,1
Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy,462.2388199,462.2388199,462.2388199,392213,181296074.3,1
Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,1221.699708,1221.699708,1221.699708,6242,7625849.58,1
Diagnostic Flexible Cystoscopy,518.3917829,250.0716103,786.7119554,359870,90860481.2,2
Diagnostic Flexible Cystoscopy using Photodynamic Fluorescence,1661.723784,1661.723784,1661.723784,111,184451.34,1
Diagnostic Flexible Sigmoidoscopy,374.2048198,374.2048198,374.2048198,183620,68711489.02,1
Diagnostic Flexible Sigmoidoscopy with Biopsy,493.6912355,493.6912355,493.6912355,63026,31115383.81,1
Diagnostic Hysteroscopy,411.2062673,411.2062673,411.2062673,28781,11834927.58,1
Diagnostic Hysteroscopy with Biopsy,493.0852507,493.0852507,493.0852507,69303,34172287.13,1
Diagnostic Hysteroscopy with Biopsy and Implantation of Intrauterine Device,701.9028512,701.9028512,701.9028512,12921,9069286.74,1
Diagnostic Hysteroscopy with Implantation of Intrauterine Device,585.9728093,585.9728093,585.9728093,3581,2098368.63,1
Diagnostic Nasopharyngoscopy,155.1045272,142.960785,167.2482694,155911,22475249.66,2
Diagnostic or Therapeutic,197.0676978,197.0676978,197.0676978,58853,11598025.22,1
Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 0-3,923.3890465,923.3890465,923.3890465,4300,3970572.9,1
Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 4+,4225.366763,4225.366763,4225.366763,1344,5678892.93,1
Diagnostic Spinal Puncture,1076.53267,626.3588109,1508.895804,36796,28627521.4,3
Digital Retinal Photography,128.0899756,91.10229167,165.0776596,95893,8941205.75,2
Dilation and Evacuation,1600.874038,1192.762942,2008.985133,9959,12643526.33,2
Dimercaptosuccinic Acid (DMSA) Scan,253.6427825,236.6792725,263.2758401,8966,2300549.97,3
Distal Colon Procedures,6325.209961,5217.736545,7432.683377,3360,19210524.49,2
Donor Oocyte Recovery,1315.208966,1315.208966,1315.208966,58,76282.12,1
Dopamine Transporter Scan,765.6040545,765.6040545,765.6040545,2681,2052584.47,1
Drainage of Lesion of Breast,330.2102459,330.2102459,330.2102459,11385,3759443.65,1
Dynamic Studies of Urinary Tract,205.4226611,157.0021592,253.8431631,137792,22429965.09,2
Early Complications of Trauma or Injury of Non-Specific Joint Site,1914.707504,1458.507137,2483.814472,2338,4401822.73,3
Electrocardiogram Monitoring or Stress Testing,145.3394027,128.58504,162.0937654,1065544,139211458.4,2
Emergency Caesarean Section with CC Score 0-1,4148.038587,4148.038587,4148.038587,65209,270489448.2,1
Emergency Caesarean Section with CC Score 2-3,5061.233577,5061.233577,5061.233577,26398,133606444,1
Emergency Caesarean Section with CC Score 4+,6255.777509,6255.777509,6255.777509,7653,47875465.28,1
Emergency Medicine,174.3161868,70.90289838,367.4435832,19700125,2713460575,12
Endobronchial Ultrasound Examination of Mediastinum,555.7834922,555.7834922,555.7834922,1406,781431.59,1
Endocarditis with CC Score 0-4,3120.077602,3120.077602,3120.077602,1393,4346268.1,1
Endocarditis with CC Score 10+,5429.754757,5429.754757,5429.754757,3086,16756223.18,1
Endocarditis with CC Score 5-9,4223.527251,4223.527251,4223.527251,2881,12167982.01,1
Endoscopic,3042.961715,1125.92294,4891.229532,8446,14742810.69,4
Endoscopic Insertion of,851.3731569,851.3731569,851.3731569,1096,933104.98,1
Endoscopic Insertion of Gastric Balloon or Sleeve,1528.356862,1528.356862,1528.356862,290,443223.49,1
Endoscopic Insertion of Gastrostomy Tube,1447.437853,899.07294,1995.802767,6391,6629939.4,2
Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,1428.705306,1428.705306,1428.705306,2535,3621767.95,1
Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,2380.696749,2380.696749,2380.696749,3227,7682508.41,1
Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,3859.0556,3859.0556,3859.0556,1691,6525663.02,1
Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 7+,6083.923539,6083.923539,6083.923539,1088,6619308.81,1
Endoscopic or Intermediate,971.8177223,813.6461753,1253.930306,20519,18103270.41,4
Endoscopic Ultrasound Examination,648.2971227,611.7947543,684.799491,10581,6766003.28,2
Endovascular Repair of,15388.43779,15388.43779,15388.43779,344,5293622.6,1
Endovascular Repair of Abdominal Aortic Aneurysm,11636.70935,11636.70935,11636.70935,1834,21341724.94,1
Environmental Effects,700.9819782,700.9819782,700.9819782,824,577609.15,1
Epidural or Therapeutic Spinal Puncture,696.4319204,696.4319204,696.4319204,11206,7804216.1,1
Epidural Under Image Control for Pain Management,726.6253586,726.6253586,726.6253586,38361,27874075.38,1
Evoked Potential Recording,273.6309248,189.9630223,357.2988273,5979,1709416.05,2
Examination for Post-Transplantation of Kidney of Live Donor,198.8596584,198.8596584,198.8596584,2576,512262.48,1
Examination for Post-Transplantation of Kidney of Recipient,273.0417159,234.6065833,311.4768485,70476,16559500.75,2
Excision or Biopsy,681.6669948,375.1191901,993.9942995,103282,47992435.41,6
Extracorporeal Lithotripsy,405.0982273,405.0982273,405.0982273,25785,10445457.79,1
Extraction of Multiple Teeth,689.8448905,532.6556704,847.0341105,78353,54946609.31,2
Fetal Ultrasound or Other Related Fetal Interventions,115.3084289,115.3084289,115.3084289,576747,66503790.46,1
Fever of Unknown Origin with Interventions,4417.018428,3247.607387,5586.429468,521,2131702,2
Fever of Unknown Origin without Interventions,1044.569352,835.4775532,1253.661151,16674,15401922.62,2
Fibrinolytic Drugs,673.5851872,673.5851872,673.5851872,8974,6044753.47,1
Fibrosis or Pneumoconiosis,2343.118204,913.1459174,4174.042994,15583,23629000.6,6
Field Exercise Testing,196.0384745,196.0384745,196.0384745,19902,3901557.72,1
Fine Needle Aspiration Cytology of Axillary Lymph Nodes,303.3671178,303.3671178,303.3671178,399,121043.48,1
Fine Needle Aspiration of Lesion of Breast and Associated Lymph Nodes,354.1779894,354.1779894,354.1779894,378,133879.28,1
Fitting of Bone Anchored Hearing Aids,815.0106467,815.0106467,815.0106467,2876,2343970.62,1
Fixture for Bone Anchored Hearing Aids,2643.496876,2643.496876,2643.496876,1844,4874608.24,1
Fluid or Electrolyte Disorders,2043.517232,537.61555,4788.995967,89419,118056465.4,7
Follow-Up Examination for Malignant Neoplasm,1441.47026,530.3270181,2352.613502,2470,1887572.55,2
Follow-Up Examination for Other Conditions,1587.726914,365.6971989,2809.756629,6622,3284399.83,2
Foot Fracture with Multiple Interventions,5640.346957,5640.346957,5640.346957,345,1945919.7,1
Foot Fracture with Single Intervention,3063.625878,2320.16114,3807.090617,1464,4360246.21,2
Foot Fracture without Interventions,2281.565366,1216.051568,3859.975094,11524,19036646.39,4
Frenotomy or Frenectomy,280.1990968,280.1990968,280.1990968,23207,6502580.44,1
Full Pulmonary Function Testing,161.1706053,161.1706053,161.1706053,17447,2811943.55,1
Gastrointestinal Bleed with Multiple Interventions,4446.470251,3282.969333,5609.971168,2238,9937238.41,2
Gastrointestinal Bleed with Single Intervention,2974.140838,2330.171432,3835.260388,10368,27125013.33,3
Gastrointestinal Bleed without Interventions,1322.146632,791.1716826,1871.942985,78646,73088730.09,3
Gastrointestinal Infections with Multiple Interventions,6282.340472,4455.899967,8108.780977,838,5677376.87,2
Gastrointestinal Infections with Single Intervention,3713.129271,2599.073871,5199.035832,4102,15496062.56,3
Gastrointestinal Infections without Interventions,1628.765752,817.7621337,2685.261868,107534,133952632.2,4
General Renal Disorders with Interventions,4672.61442,3127.836101,6454.610703,8287,32703518.4,3
General Renal Disorders without Interventions,1832.956277,829.4454626,2868.853333,54886,54889348.3,4
Genito-Urinary Medicine (GUM) Infections,2244.968998,2244.968998,2244.968998,499,1120239.53,1
Glomerular Filtration Rate Testing,142.0506802,99.77549296,208.0161661,12223,2494307.75,3
Granulomatous,2013.260891,620.4080075,4479.283036,8458,9840161.91,4
Growth Hormone Analogue Drugs,740.832899,740.832899,740.832899,5088,3769357.79,1
Growth Hormone Receptor Antagonist Drugs,1819.770247,1819.770247,1819.770247,1295,2356602.47,1
Haemodialysis for Acute Kidney Injury,414.6988169,410.5488538,418.84878,6049,2487559.98,2
Haemolytic Anaemia with CC Score 0-2,591.1094065,591.1094065,591.1094065,1803,1065770.26,1
Haemolytic Anaemia with CC Score 3+,1765.322426,1765.322426,1765.322426,1525,2692116.7,1
Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,1964.005671,1964.005671,1964.005671,3105,6098237.61,1
Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,4139.07031,4139.07031,4139.07031,2224,9205292.37,1
Haemorrhagic Cerebrovascular Disorders with CC Score 14+,6492.849835,6492.849835,6492.849835,1089,7070713.47,1
Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,2305.483734,2305.483734,2305.483734,4004,9231156.87,1
Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,2957.423993,2957.423993,2957.423993,3957,11702526.74,1
Hand Fracture with Interventions,2038.20498,2038.20498,2038.20498,498,1015026.08,1
Hand Fracture without Interventions,873.8881336,521.894369,1434.912349,5177,3802725.48,3
Headache,1000.55337,624.1592995,1426.607112,88591,59586148.41,3
Healthy Baby,0,0,0,0,0,1
Heart and Lung Transplant,28748.74,28748.74,28748.74,13,373733.62,1
Heart Failure or Shock,2254.585156,1010.342152,3864.689823,149549,308982706.3,5
Heart Transplant,48254.84852,41467.55561,55042.14143,206,9112449.06,2
Hepatitis B Treatment Drugs,1469.886124,1469.886124,1469.886124,15479,22752367.32,1
Hepatobiliary Nuclear Scan,460.7795022,379.3874074,542.171597,3089,1670372.89,2
Hepatobiliary Transplant,32225.62639,19769.76005,44182.1575,716,15826204.11,3
Herniotomy Procedures,1880.468108,1570.536656,2190.399559,5925,10612720.55,2
High Intensity Focused Ultrasound (Male and Female),572.7638168,572.7638168,572.7638168,2151,1232014.97,1
Hip Fracture with Multiple Interventions,9327.702972,7035.968158,11619.43779,802,7402898.8,2
Hip Fracture with Single Intervention,6560.177948,5635.885769,7484.470128,1941,12242506.25,2
Hip Fracture without Interventions,4118.463358,2404.922956,6324.848749,47907,147153747.7,4
HIV Disease with Multiple Interventions,12966.25875,12966.25875,12966.25875,176,2282061.54,1
HIV Disease with Single Intervention,8485.303057,6080.813613,10889.7925,426,3321391.39,2
HIV Disease without Interventions,3370.056483,2273.58107,5052.145986,3158,9839334.71,3
Home Haemodialysis or Filtration,276.9948269,157.3521075,450.7312859,134252,23061104.27,4
Hospital Haemodialysis or Filtration,272.8228104,139.58,490.1093159,1234905,197572109.7,8
Hospital Specialist Palliative Care Support,114.9757641,100.1902718,129.7612563,457497,46064120.08,2
Hyperbaric Oxygen Treatment,203.9147727,203.9147727,203.9147727,44,8972.25,1
Hypertension,729.8670732,729.8670732,729.8670732,16130,11772755.89,1
Hyperuricaemia Drugs,932.3559263,932.3559263,932.3559263,7568,7056069.65,1
Hypnotic Drugs,314.0125568,314.0125568,314.0125568,4404,1382911.3,1
Hypoplastic Haemolytic and Renal Anaemia Drugs,1018.688489,160.8719936,1876.504985,28363,38808562.49,2
Hypothermia,1208.685061,933.0342764,1484.335845,1964,2324791.62,2
Hypoxic (Altitude) or Hyperoxic (Shunt) Assessment,205.5198178,205.5198178,205.5198178,878,180446.4,1
Image Guided Aspiration of Joint,609.1791548,609.1791548,609.1791548,22161,13500019.25,1
Image Guided Biopsy of,1590.561809,1590.561809,1590.561809,2499,3974813.96,1
Image Guided Biopsy of Extradural Spinal Lesion,1430.188933,1430.188933,1430.188933,600,858113.36,1
Image Guided Biopsy of Lesion of Bone,1102.488765,1102.488765,1102.488765,2664,2937030.07,1
Immune Response Drugs,1050.559625,1050.559625,1050.559625,19135,20102458.42,1
Immunoglobulins,1147.230381,1147.230381,1147.230381,106355,122013687.1,1
Immunomodulating Drugs,1738.549209,1738.549209,1738.549209,96751,168206374.5,1
Implantation of Artificial Urinary Sphincter (Male and Female),5191.710971,5191.710971,5191.710971,381,1978041.88,1
Implantation of Biventricular Pacemaker with CC Score 0-5,5340.562001,5340.562001,5340.562001,2064,11022919.97,1
Implantation of Biventricular Pacemaker with CC Score 6+,6901.318191,6901.318191,6901.318191,1034,7135963.01,1
Implantation of Biventricular Pacemaker with Other Percutaneous Intervention,10967.88714,10967.88714,10967.88714,119,1305178.57,1
Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy,16749.34588,15120.03098,18378.66078,4776,74292273.76,2
Implantation of Cardioverter Defibrillator with CC Score 0-8,12192.87251,12192.87251,12192.87251,6723,81972681.86,1
Implantation of Cardioverter Defibrillator with CC Score 9+,16891.56552,16891.56552,16891.56552,805,13597710.24,1
Implantation of Dual Chamber Pacemaker with CC Score 0-2,2929.917426,2929.917426,2929.917426,10557,30931138.27,1
Implantation of Dual Chamber Pacemaker with CC Score 12+,7266.550123,7266.550123,7266.550123,651,4730524.13,1
Implantation of Dual Chamber Pacemaker with CC Score 3-5,3584.40521,3584.40521,3584.40521,5864,21018952.15,1
Implantation of Dual Chamber Pacemaker with CC Score 6-8,4450.152063,4450.152063,4450.152063,2240,9968340.62,1
Implantation of Dual Chamber Pacemaker with CC Score 9-11,5384.581461,5384.581461,5384.581461,883,4754585.43,1
Implantation of Dual Chamber Pacemaker with Other Percutaneous Intervention,5391.121735,1437.185688,9345.057782,1856,4984423.16,2
Implantation of Electrocardiography Loop Recorder with CC Score 0-2,1500.402018,1500.402018,1500.402018,8255,12385818.66,1
Implantation of Electrocardiography Loop Recorder with CC Score 3+,2194.749271,2194.749271,2194.749271,2113,4637505.21,1
Implantation of Embryo,930.962285,930.962285,930.962285,6989,6506495.41,1
Implantation of Intrauterine Device,322.8777477,322.8777477,322.8777477,9679,3125133.72,1
Implantation of Penile Prosthesis,4248.307628,4248.307628,4248.307628,430,1826772.28,1
Implantation of Prosthetic Heart or Ventricular Assist Device,83505.81845,67249.7044,99761.9325,171,11889846.19,2
Implantation of Single Chamber Pacemaker with CC Score 0-2,1831.512589,1831.512589,1831.512589,12637,23144824.59,1
Implantation of Single Chamber Pacemaker with CC Score 12+,6356.370514,6356.370514,6356.370514,875,5561824.2,1
Implantation of Single Chamber Pacemaker with CC Score 3-5,3019.404397,3019.404397,3019.404397,5488,16570491.33,1
Implantation of Single Chamber Pacemaker with CC Score 6-8,3961.321339,3961.321339,3961.321339,2241,8877321.12,1
Implantation of Single Chamber Pacemaker with CC Score 9-11,5319.574419,5319.574419,5319.574419,998,5308935.27,1
Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention,5585.322812,4631.878908,6538.766715,835,4779111.26,2
Inborn Errors of Metabolism with CC Score 0-2,250.7902675,250.7902675,250.7902675,63466,15916655.12,1
Inborn Errors of Metabolism with CC Score 3+,809.4532186,809.4532186,809.4532186,6307,5105221.45,1
Infection or Inflammatory Reaction,4191.545828,2370.105167,6453.685178,5871,21312417.86,3
Infection or Mechanical Problems Related to Genito-Urinary Prostheses,1787.707734,555.9414907,3504.937034,13546,20422805.27,5
Infections of Bones or Joints,3311.01811,1810.598378,4886.202436,16923,58495785.98,5
Infections or Other Complications of Procedures,4384.799959,1119.983614,9222.336878,57694,111817028.7,7
Inferior Vena Cava Filter Procedures with CC Score 0-2,1667.197759,1667.197759,1667.197759,1071,1785568.8,1
Inferior Vena Cava Filter Procedures with CC Score 3-6,3279.57362,3279.57362,3279.57362,685,2246507.93,1
Inferior Vena Cava Filter Procedures with CC Score 7+,8465.910736,8465.910736,8465.910736,598,5062614.62,1
Inflammatory,1618.909894,466.55225,3664.800066,143691,101680919.4,6
Inflammatory Bowel Disease with Multiple Interventions,6780.46656,4923.818965,8637.114156,793,5378766.63,2
Inflammatory Bowel Disease with Single Intervention,4002.368621,3009.639665,4995.097577,4947,16699425.04,2
Inflammatory Bowel Disease without Interventions,1262.175557,469.0055739,2220.016875,111862,72923620.17,4
Inflammatory Spinal Conditions with CC Score 0-1,577.6864777,577.6864777,577.6864777,5187,2996459.76,1
Inflammatory Spinal Conditions with CC Score 2+,1502.96575,1502.96575,1502.96575,1113,1672800.88,1
Inguinal,2617.356438,1682.993869,4455.039842,72083,147612280.7,6
Inhalation Lung Injury or Foreign Body,4957.102504,1565.912463,10579.93418,48242,125353114.8,8
Injection of Therapeutic Substance into Joint for Pain Management,696.9087469,696.9087469,696.9087469,19169,13359043.77,1
Inpatient Specialist Palliative Care,310.1382421,0,736.87,162100,54890614.22,4
Insertion of,297.8966698,297.8966698,297.8966698,1063,316664.16,1
Insertion of Grommets,921.9179361,825.4470375,1000.869975,20760,18885627.97,3
Insertion of Intrathecal Drug Delivery Device for Pain Management,9473.381389,9473.381389,9473.381389,36,341041.73,1
Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions,11827.01484,10100.52018,13553.50949,472,4902112.11,2
Insertion of Neurostimulator Electrodes for Pain Management,6339.904183,6339.904183,6339.904183,722,4577410.82,1
Insertion of Neurostimulator Electrodes for Treatment of Faecal Incontinence,1495.345331,1495.345331,1495.345331,711,1063190.53,1
Insertion of Neurostimulator Electrodes for Treatment of Urinary Incontinence,2864.718729,2864.718729,2864.718729,598,1713101.8,1
Insertion of Neurostimulator for Pain Management,12924.56469,12924.56469,12924.56469,909,11748429.3,1
Insertion of Neurostimulator for Treatment of Faecal Incontinence,5041.336171,5041.336171,5041.336171,410,2066947.83,1
Insertion of Neurostimulator for Treatment of Neurological Conditions,10993.42287,9821.669807,12165.17592,2051,20448900.57,2
Insertion of Neurostimulator for Treatment of Urinary Incontinence,5013.151634,5013.151634,5013.151634,404,2025313.26,1
Insertion of Non-Tunnelled Central Venous Catheter,1558.278022,961.6477878,2154.908257,12754,13647844.77,2
Insertion of Subcutaneous Port,1421.189836,1421.189836,1421.189836,2690,3823000.66,1
Insertion of Tunnelled Central Venous Catheter,1659.146118,1072.403395,2245.888841,6354,7249414.27,2
Intermediate,941.7736312,159.4514786,2352.155333,61773,35330911.27,13
Intermediate Anal Procedures,1738.144255,1251.035181,2574.963599,50377,68191799.63,4
Intermediate Burn (TBSA of 20-59%) with Other Skin Procedure,14392.81232,14392.81232,14392.81232,69,993104.05,1
Intermediate Burn (TBSA of 20-59%) with Skin Graft,27583.95381,27583.95381,27583.95381,139,3834169.58,1
Intermediate Burn (TBSA of 20-59%) without Skin Procedure,4294.356423,4294.356423,4294.356423,137,588326.83,1
Intermediate Dental Procedures,248.061117,189.1927236,306.9295105,112825,23866178.17,2
Intermediate Ear Procedures,642.8430898,223.5873573,1062.098822,27075,7577203.03,2
Intermediate Elbow Procedures for Non-Trauma,2204.008351,1699.005112,3189.168127,8286,17014226.64,4
Intermediate Elbow Procedures for Trauma,2149.041942,1797.289772,2705.33027,8605,17227743.01,4
Intermediate Endoscopic,1601.164291,1322.110224,1880.218358,5624,8087976.31,2
Intermediate Endoscopic Bladder Procedures,969.7784208,969.7784208,969.7784208,47605,46166301.72,1
Intermediate Endoscopic Ureter Procedures,1177.734995,1034.637965,1320.832026,27307,28584844.02,2
Intermediate Extradural Spinal Procedures with CC Score 0-1,4187.093347,4187.093347,4187.093347,10388,43495525.69,1
Intermediate Extradural Spinal Procedures with CC Score 2-3,5128.053318,5128.053318,5128.053318,2866,14697000.81,1
Intermediate Extradural Spinal Procedures with CC Score 4+,7114.871515,7114.871515,7114.871515,1010,7186020.23,1
Intermediate Female Pelvic Peritoneum Adhesion Procedures,1700.580232,1700.580232,1700.580232,7364,12523072.83,1
Intermediate Foot Procedures for Non-Trauma,2462.955121,1595.865455,4103.811732,32404,58360702.38,4
Intermediate Foot Procedures for Trauma,4354.106334,2598.44832,7368.548644,6299,22813109.33,5
Intermediate Hand Procedures for Non-Trauma,1741.836014,1476.97761,2200.185978,30296,52438208.89,4
Intermediate Hand Procedures for Trauma,1713.581611,1547.304218,2193.89814,26439,42679292.59,5
Intermediate Hip Procedures for Non-Trauma,4190.066015,2244.459003,9352.735195,12281,42090487.35,8
Intermediate Hip Procedures for Trauma with CC Score 0-1,3879.770613,3879.770613,3879.770613,1077,4178512.95,1
Intermediate Hip Procedures for Trauma with CC Score 2-3,5140.907224,5140.907224,5140.907224,317,1629667.59,1
Intermediate Hip Procedures for Trauma with CC Score 4+,8225.866951,8225.866951,8225.866951,305,2508889.42,1
Intermediate Intracranial Procedures,3471.08465,1922.489399,4948.661298,2543,7951191.25,3
Intermediate Knee Procedures for Non-Trauma,2644.822592,1789.746897,4358.172874,55237,108045604.2,6
Intermediate Knee Procedures for Trauma,3989.872781,2911.831044,6107.38328,5065,17260745,4
Intermediate Large Intestine Procedures,420.8513055,420.8513055,420.8513055,37464,15766773.31,1
Intermediate Maxillofacial Procedures,2583.251886,2583.251886,2583.251886,1893,4890095.82,1
Intermediate Neck Procedures,2466.618331,2424.111345,2509.125318,2036,4979612.95,2
Intermediate Nose Procedures,662.3125707,662.3125707,662.3125707,5446,3606954.26,1
Intermediate Ocular Motility Procedures,1376.494618,1274.762381,1478.226854,1386,1907821.54,2
Intermediate Oculoplastics Procedures,962.496642,514.3459681,1280.412808,38246,22568301.47,4
Intermediate Open,3365.821515,1829.122162,6079.188199,7797,24609874.08,6
Intermediate Open Bladder Procedures,3817.22769,3817.22769,3817.22769,342,1305491.87,1
Intermediate Open Lower Genital Tract Procedures with CC Score 0-2,2018.097732,2018.097732,2018.097732,7993,16130655.17,1
Intermediate Open Lower Genital Tract Procedures with CC Score 3+,2483.551824,2483.551824,2483.551824,817,2029061.84,1
Intermediate Open Penis Procedures,2697.735791,2697.735791,2697.735791,1188,3204910.12,1
Intermediate Open Upper Genital Tract Procedures,2862.105427,2862.105427,2862.105427,1708,4888476.07,1
Intermediate Procedures for Congenital Heart Disease with CC Score 0-3,5168.375846,5168.375846,5168.375846,1986,10264394.43,1
Intermediate Procedures for Congenital Heart Disease with CC Score 4-8,6173.265376,6173.265376,6173.265376,638,3938543.31,1
Intermediate Procedures for Congenital Heart Disease with CC Score 9+,9640.030686,9640.030686,9640.030686,204,1966566.26,1
Intermediate Shoulder Procedures for Non-Trauma,2416.473824,1728.666802,3399.756535,16185,35756186.77,4
Intermediate Shoulder Procedures for Trauma with CC Score 0,2191.801907,2191.801907,2191.801907,2439,5345804.85,1
Intermediate Shoulder Procedures for Trauma with CC Score 1,1961.082182,1961.082182,1961.082182,880,1725752.32,1
Intermediate Shoulder Procedures for Trauma with CC Score 2-3,2129.777049,2129.777049,2129.777049,654,1392874.19,1
Intermediate Shoulder Procedures for Trauma with CC Score 4+,3499.244022,3499.244022,3499.244022,368,1287721.8,1
Intermediate Sinus Procedures,1942.010783,1942.010783,1942.010783,6708,13027008.33,1
Intermediate Skin Procedures,851.3597024,538.998187,1163.721218,258827,148360858.5,2
Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 0-1,1442.221895,1442.221895,1442.221895,16581,23913481.24,1
Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 2-3,2048.308753,2048.308753,2048.308753,7160,14665890.67,1
Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 4-5,2707.904766,2707.904766,2707.904766,3162,8562394.87,1
Intermediate Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 6+,4121.221414,4121.221414,4121.221414,3084,12709846.84,1
Intermediate Therapeutic General Abdominal Procedures,2874.6404,2096.896207,4202.001198,6246,16199461.64,4
Intermediate Thoracic Procedures,3299.828492,1531.509447,4740.853433,16826,36528131.05,5
Intermediate Upper Gastrointestinal Tract Procedures,271.3261922,271.3261922,271.3261922,21716,5892119.59,1
Intermediate Vitreous Retinal Procedures,340.4542978,166.3474292,530.9820607,507076,88876431.5,3
Intra-Uterine Insemination with Superovulation,981.2756742,677.0533892,1285.497959,1113,813187.99,2
Intra-Uterine Insemination without Superovulation,454.1970409,394.5472354,513.8468465,704,306512.46,2
Intravenous Nutrition,353.0601435,353.0601435,353.0601435,28147,9937583.86,1
Introduction of Therapeutic Substance into Bladder,210.7546248,210.7546248,210.7546248,88944,18745359.35,1
Iron Deficiency Anaemia with CC Score 0-1,378.2583069,378.2583069,378.2583069,21416,8100779.9,1
Iron Deficiency Anaemia with CC Score 10-13,1677.326326,1677.326326,1677.326326,4028,6756270.44,1
Iron Deficiency Anaemia with CC Score 14+,2732.322757,2732.322757,2732.322757,1850,5054797.1,1
Iron Deficiency Anaemia with CC Score 2-5,590.9722214,590.9722214,590.9722214,19240,11370305.54,1
Iron Deficiency Anaemia with CC Score 6-9,1039.481732,1039.481732,1039.481732,9640,10020603.9,1
Kidney,3199.911072,678.4843452,7168.198693,39965,69182208.45,10
Kidney or Urinary Tract Infections,3665.836039,921.6713145,8434.067469,285571,528656571.6,10
Kidney Pre-Transplantation Work-up of Live Donor,314.2288734,314.2288734,314.2288734,2219,697273.87,1
Kidney Pre-Transplantation Work-up of Recipient,672.5763193,387.676168,957.4764706,7868,3069609.3,2
Kidney Transplant,15551.42132,8302.99875,19861.42049,2464,38724574.56,6
Knee Fracture with Multiple Interventions,7405.716646,7405.716646,7405.716646,325,2406857.91,1
Knee Fracture with Single Intervention,5290.664154,3488.319148,7857.824851,1798,8570568.2,3
Knee Fracture without Interventions,3087.266292,1686.577003,4691.507875,11901,30979470.57,3
Labour without Specified Delivery,1262.526808,1262.526808,1262.526808,23606,29803207.83,1
Laparoscopic Cholecystectomy,3426.784361,2478.502887,4725.63857,57580,156057280.1,3
Live Donation of Kidney,7779.966695,7779.966695,7779.966695,702,5461536.62,1
Live Kidney Donor Screening,232.523112,232.523112,232.523112,1205,280190.35,1
Liver Failure Disorders with Multiple Interventions,6383.781456,6383.781456,6383.781456,728,4647392.9,1
Liver Failure Disorders with Single Intervention,3398.850396,3398.850396,3398.850396,1566,5322599.72,1
Liver Failure Disorders without Interventions,1635.756594,1259.445341,2012.067846,5803,9482135.11,2
Lobar,3917.160349,1029.269322,8986.742114,450569,858270522.9,11
Low Back Pain with Interventions,2315.504779,2315.504779,2315.504779,1333,3086567.87,1
Low Back Pain without Interventions,1175.481749,746.4833872,1657.193937,31824,27598096.86,3
Lung Abscess-Empyema with Interventions,5033.14165,3780.710713,6561.583707,1969,9688658.68,3
Lung Abscess-Empyema without Interventions,2175.020161,1471.410588,2934.310532,4031,8179076.25,3
Lung Transplant,32674.40974,32674.40974,32674.40974,191,6240812.26,1
Lung Ventilation or Perfusion Scan,283.6840989,272.7727534,294.5954444,7252,1980112.05,2
Lung Volume Studies,150.1290278,150.1290278,150.1290278,10636,1596772.34,1
Macular Oedema Drugs Band 1,262.8371635,262.8371635,262.8371635,22570,5932234.78,1
Magnetic Resonance Imaging Scan of more than three areas,195.01728,195.01728,195.01728,28901,5636194.41,1
Magnetic Resonance Imaging Scan of one area,156.0622228,91.15518002,202.7043983,1794782,265240982.6,7
Magnetic Resonance Imaging Scan of two or three areas,180.756888,153.1976484,208.3161276,168731,27402376.04,2
Magnetic Resonance Imaging Scan requiring extensive patient repositioning,293.2518406,293.2518406,293.2518406,10643,3121079.34,1
Maintenance of Gastric Band for Obesity,459.1396748,459.1396748,459.1396748,3229,1482562.01,1
Major,4222.953003,262.8543123,8721.732794,62016,171249555.4,30
Major Anal Procedures,2235.297542,1447.242372,2881.352294,10758,18866908.34,3
